1,11,0.236046669,0.308173987,0.422552133,0.829221726,0.587709193,0.065295003,0.25522665,0.4919865,0.110944873,0.674086487,0.019512165,0.499928847,0.744946714,0.608347459,0.613431015,0.925241326,0.749508208,0.352969585,0.302591701,0.864861972
2,12,0.563293975,0.533146156,0.919999947,0.814778167,0.220832089,0.92223609,0.579769314,0.667641385,0.304925156,0.264850358,0.767543761,0.463159669,0.740733659,0.167576419,0.400602669,0.913524877,0.719308239,0.246413983,0.860425818,0.142827553
3,17,0.233917974,0.874313082,0.559125325,0.40536394,0.286876883,0.085822284,0.621766494,0.284985414,0.519188718,0.049522796,0.786510079,0.399829312,0.027727652,0.793497916,0.679763383,0.841118391,0.171657335,0.917884022,0.111124903,0.816147526
4,12,0.1655072,0.413811903,0.870000619,0.752501957,0.76329861,0.510482367,0.025243569,0.384686071,0.086766736,0.103500518,0.549630024,0.536512878,0.804137988,0.917873264,0.817203593,0.486321579,0.809877141,0.844794035,0.223213305,0.431375333
5,1,0.010946629,0.006644454,0.844352538,0.46285674,0.832130818,0.347264833,0.163385162,0.649880597,0.076483768,0.24407238,0.786454069,0.441194963,0.81418744,0.053607076,0.244861988,0.5195706,0.143969804,0.603173945,0.448862204,0.453295772
6,7,0.488760905,0.472453368,0.483859918,0.952063358,0.609824508,0.370572828,0.563713432,0.976727538,0.154842358,0.28867861,0.096527598,0.695666331,0.754659571,0.986469641,0.072473384,0.270695887,0.661285727,0.690470957,0.791142909,0.507713425
7,7,0.698031854,0.92224196,0.387288855,0.54901584,0.13481143,0.165353286,0.238141355,0.589134149,0.391220478,0.513817768,0.015398379,0.026113815,0.631226982,0.324674561,0.947817802,0.379072246,0.858327654,0.100022487,0.865794592,0.916312657
8,5,0.866736309,0.464650676,0.522901936,0.814061798,0.793153028,0.776548099,0.525075881,0.886037007,0.562881203,0.515133477,0.595446962,0.006163775,0.434280149,0.842224217,0.832116129,0.017389904,0.420329288,0.611183681,0.219389371,0.378506416
9,15,0.672159632,0.930949639,0.318036508,0.998519137,0.064785288,0.640134014,0.121534371,0.817981587,0.55567509,0.734024438,0.939514515,0.692287709,0.030983654,0.449614762,0.63420927,0.596552041,0.29999397,0.94563643,0.305668499,0.352181104
10,7,0.197044404,0.466453909,0.768861134,0.363608252,0.293075869,0.487567902,0.848714608,0.119726584,0.324230178,0.590134499,0.594293002,0.132938862,0.346918903,0.446747121,0.789293187,0.678272168,0.98907647,0.410484479,0.667667147,0.285148739
